id,name,last_price,unit_size,image_url,canonical_category,last_update
3505.2,1/4 Sandía baja en semillas,4.24,1.6,https://prod-mercadona.imgix.net/images/09182c8d0e75928bcd808fc4fb7d75d4.jpg?fit=crop&h=300&w=300,Otros,2026-04-04 20:41:01
84397,10 Pasteles de boniato 57%,3.5,0.37,,,2026-01-13 07:38:44
84815,10 Pasteles de cabello de Ángel 57%,3.5,0.37,,,2025-12-31 19:51:38
5841,11 Panecillos,1.14,0.495,https://prod-mercadona.imgix.net/images/a773b121b0d0d2712a8a74bff314feb0.jpg?fit=crop&h=300&w=300,Panaderia y Bolleria,2026-04-23 21:07:06
84629,12 Mini croissants de mantequilla,2.15,0.24,https://prod-mercadona.imgix.net/images/55dfb0de5a832d479c76f2e25c653d4b.jpg?fit=crop&h=300&w=300,Panaderia y Bolleria,2026-04-23 21:07:04
84638,12 Mini saladas surtidas,1.4,0.195,https://prod-mercadona.imgix.net/images/8b231c42fd0c486732b5e2d792920d58.jpg?fit=crop&h=300&w=300,Panaderia y Bolleria,2026-04-23 21:07:04
60235,2 Baguettes para hornear,1.3,0.3,https://prod-mercadona.imgix.net/images/724bbd112c2835ae8ecdd3a72f08af70.jpg?fit=crop&h=300&w=300,Panaderia y Bolleria,2026-04-23 21:07:06
84597,24 Mini saladas surtidas,2.8,0.39,https://prod-mercadona.imgix.net/images/f34f7750f48b4aba20a8625e0d8a6ff1.jpg?fit=crop&h=300&w=300,Panaderia y Bolleria,2026-04-23 21:07:04
83203.1,3 Barras de pan,1.19,0.75,https://prod-mercadona.imgix.net/images/b2885ac23e9ad6ffc406882e24291809.jpg?fit=crop&h=300&w=300,Panaderia y Bolleria,2026-04-23 21:07:06
83232.1,3 Barras de pan aceite de oliva,1.51,0.6,https://prod-mercadona.imgix.net/images/0dfcb4c2801caae6127716ae1c2b66d1.jpg?fit=crop&h=300&w=300,Panaderia y Bolleria,2026-04-23 21:07:06
83232.2,3 Barras de pan aceite de oliva rebanadas,1.51,0.6,https://prod-mercadona.imgix.net/images/6d681fe3ac98a023bde89cb3445fa2e3.jpg?fit=crop&h=300&w=300,Panaderia y Bolleria,2026-04-23 21:07:06
83203.2,3 Barras de pan rebanadas,1.19,0.75,https://prod-mercadona.imgix.net/images/63ccfde2421a1579e2ebd41ef601e7ac.jpg?fit=crop&h=300&w=300,Panaderia y Bolleria,2026-04-23 21:07:06
9664,3 Bocadillos,1.04,0.39,https://prod-mercadona.imgix.net/images/073a9cdb8b55c15d05791f3380e31b28.jpg?fit=crop&h=300&w=300,Panaderia y Bolleria,2026-04-23 21:07:06
69737,3 Vegetales para microondas lavados,1.85,0.3,https://prod-mercadona.imgix.net/images/94960faa400fa058a71550bbbe0c7fd7.jpg?fit=crop&h=300&w=300,Frutas y Verduras,2026-04-23 21:06:55
